sector,region,value
"Agriculture, Forestry and Fishing (Section A)",EU,100795.001
Mining & Quarrying (Section B),EU,5386.437884
"Food Products, Beverages and Tobacco Products (Section CA)",EU,391763.5837
"Textiles, Wearing Apparel and Leather (Section CB)",EU,102666.6304
"Wood and Paper Products, and Printing (Section CC)",EU,30313.63942
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,139824.8603
Basic Pharmaceuticals and Their Products (Section CF),EU,67678.31433
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,37582.13273
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,60538.24959
"Computer, Electronic and Optical Products (Section CI)",EU,112035.3519
Electrical Equipment (Section CJ),EU,55712.91833
Machinery and Equipment N.E.C. (Section CK),EU,148110.0721
Transport Equipment (Section CL),EU,256907.5034
"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,130988.4216
"Utilities (Section D,E)",EU,188906.6825
Construction (Section F),EU,742215.4184
"Wholesale, Retail and Repairs (Section G)",EU,877440.7292
Transportation and Storage (Section H),EU,223229.7163
Accommodation and Food Services (Section I),EU,369223.5464
Information and Communication (Section J),EU,312871.8377
Financial and Insurance (Section K),EU,226439.3988
Real Estate Activities (Section L),EU,846864.8591
"Professional, Scientific & Technical (Section M)",EU,208298.1288
Administrative and Support Services (Section N),EU,81121.25098
Public administration and defence; compulsory social security (Section O),EU,727619.635
Education (Section P),EU,483989.5951
Other Services (Section (Q-U),EU,1230451.927
"Agriculture, Forestry and Fishing (Section A)",NEU,1071250.507
Mining & Quarrying (Section B),NEU,174800.2225
"Food Products, Beverages and Tobacco Products (Section CA)",NEU,1810502.952
"Textiles, Wearing Apparel and Leather (Section CB)",NEU,607848.4402
"Wood and Paper Products, and Printing (Section CC)",NEU,98545.94574
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",NEU,688116.5013
Basic Pharmaceuticals and Their Products (Section CF),NEU,165640.9798
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",NEU,124843.0359
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",NEU,221836.4316
"Computer, Electronic and Optical Products (Section CI)",NEU,607673.5831
Electrical Equipment (Section CJ),NEU,357231.9409
Machinery and Equipment N.E.C. (Section CK),NEU,779809.6647
Transport Equipment (Section CL),NEU,1532408.784
"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",NEU,310901.2634
"Utilities (Section D,E)",NEU,544188.4122
Construction (Section F),NEU,4965161.891
"Wholesale, Retail and Repairs (Section G)",NEU,3471379.158
Transportation and Storage (Section H),NEU,1165990.951
Accommodation and Food Services (Section I),NEU,1164673.055
Information and Communication (Section J),NEU,1273607.03
Financial and Insurance (Section K),NEU,1286464.022
Real Estate Activities (Section L),NEU,2833369.799
"Professional, Scientific & Technical (Section M)",NEU,631590.7374
Administrative and Support Services (Section N),NEU,359456.1193
Public administration and defence; compulsory social security (Section O),NEU,3986625.334
Education (Section P),NEU,1460824.978
Other Services (Section (Q-U),NEU,3689422.228
"Agriculture, Forestry and Fishing (Section A)",RUK,14589.48156
Mining & Quarrying (Section B),RUK,773.0132127
"Food Products, Beverages and Tobacco Products (Section CA)",RUK,41260.00419
"Textiles, Wearing Apparel and Leather (Section CB)",RUK,18720.87648
"Wood and Paper Products, and Printing (Section CC)",RUK,690.5657195
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",RUK,15678.33943
Basic Pharmaceuticals and Their Products (Section CF),RUK,12006.57842
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",RUK,4213.921215
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",RUK,2839.759712
"Computer, Electronic and Optical Products (Section CI)",RUK,8688.378068
Electrical Equipment (Section CJ),RUK,5702.186429
Machinery and Equipment N.E.C. (Section CK),RUK,16938.37768
Transport Equipment (Section CL),RUK,62449.97066
"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",RUK,7894.891903
"Utilities (Section D,E)",RUK,35294.59714
Construction (Section F),RUK,116185.3979
"Wholesale, Retail and Repairs (Section G)",RUK,196141.7299
Transportation and Storage (Section H),RUK,52032.44848
Accommodation and Food Services (Section I),RUK,68410.24501
Information and Communication (Section J),RUK,60899.85968
Financial and Insurance (Section K),RUK,89007.40217
Real Estate Activities (Section L),RUK,205865.5146
"Professional, Scientific & Technical (Section M)",RUK,14705.72309
Administrative and Support Services (Section N),RUK,10096.2128
Public administration and defence; compulsory social security (Section O),RUK,123475.2853
Education (Section P),RUK,93646.58872
Other Services (Section (Q-U),RUK,265225.739
"Agriculture, Forestry and Fishing (Section A)",SCO,1782.590488
Mining & Quarrying (Section B),SCO,396.615456
"Food Products, Beverages and Tobacco Products (Section CA)",SCO,6434.212957
"Textiles, Wearing Apparel and Leather (Section CB)",SCO,3028.255977
"Wood and Paper Products, and Printing (Section CC)",SCO,298.6447938
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",SCO,2576.481958
Basic Pharmaceuticals and Their Products (Section CF),SCO,1350.558004
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",SCO,801.7195956
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",SCO,2911.98819
"Computer, Electronic and Optical Products (Section CI)",SCO,1114.792527
Electrical Equipment (Section CJ),SCO,341.1761346
Machinery and Equipment N.E.C. (Section CK),SCO,1993.615171
Transport Equipment (Section CL),SCO,4398.971934
"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",SCO,750.1604625
"Utilities (Section D,E)",SCO,3060.28573
Construction (Section F),SCO,13866.23488
"Wholesale, Retail and Repairs (Section G)",SCO,17179.75387
Transportation and Storage (Section H),SCO,4753.701648
Accommodation and Food Services (Section I),SCO,7535.810404
Information and Communication (Section J),SCO,5950.207371
Financial and Insurance (Section K),SCO,7801.984046
Real Estate Activities (Section L),SCO,13895.91853
"Professional, Scientific & Technical (Section M)",SCO,2429.214463
Administrative and Support Services (Section N),SCO,201.2984745
Public administration and defence; compulsory social security (Section O),SCO,15166.76234
Education (Section P),SCO,7406.686696
Other Services (Section (Q-U),SCO,25370.69858
